Date,Time,NewPosts,NewComments
10-23-2022,22:00:25,0,0
10-23-2022,22:30:26,8,102
10-23-2022,23:00:26,6,139
10-24-2022,01:12:25,0,0
10-24-2022,01:42:25,12,54
10-24-2022,02:12:27,2,7
10-24-2022,02:42:27,5,36
10-24-2022,03:12:27,1,1
10-24-2022,03:42:28,1,1
10-24-2022,04:12:28,0,0
10-24-2022,04:42:29,0,1
10-24-2022,05:12:29,3,8
10-24-2022,05:42:29,0,0
10-24-2022,06:12:30,0,0
10-24-2022,06:42:30,0,0
10-24-2022,07:12:31,0,0
10-24-2022,07:42:31,1,6
10-24-2022,08:12:31,12,79
10-24-2022,08:42:32,3,9
10-24-2022,09:12:32,6,15
10-24-2022,09:42:33,0,7
10-24-2022,10:12:33,2,18
10-24-2022,10:42:33,5,42
10-24-2022,11:12:34,5,23
10-24-2022,11:42:34,7,76
10-24-2022,12:12:32,3,12
10-24-2022,12:42:35,4,15
10-24-2022,13:12:35,5,26
10-24-2022,13:42:36,5,25
10-24-2022,14:12:36,2,38
10-24-2022,14:42:36,4,4
10-24-2022,15:12:37,6,15
10-24-2022,15:42:37,8,26
10-24-2022,16:12:37,3,29
10-24-2022,16:42:38,1,10
10-24-2022,17:12:39,5,20
10-24-2022,17:42:39,5,23
10-24-2022,18:12:40,7,18
10-24-2022,18:42:40,1,15
10-24-2022,19:12:41,3,22
10-24-2022,19:42:41,4,14
10-24-2022,20:12:41,3,10
10-24-2022,20:42:42,5,19
10-24-2022,21:12:42,9,15
10-24-2022,21:42:43,7,20
10-24-2022,22:12:43,5,18
10-24-2022,22:42:43,3,33
10-24-2022,23:12:44,7,27
10-24-2022,23:42:55,0,0
10-25-2022,00:08:15,0,0
10-25-2022,00:38:16,5,15
10-25-2022,01:08:16,5,15
10-25-2022,01:38:16,0,2
10-25-2022,02:08:17,2,9
10-25-2022,02:38:17,2,0
10-25-2022,03:08:18,0,1
10-25-2022,03:38:18,1,0
10-25-2022,04:08:19,0,0
10-25-2022,04:38:19,0,0
10-25-2022,05:08:19,0,4
10-25-2022,05:38:20,0,0
10-25-2022,06:08:20,0,2
10-25-2022,06:38:21,6,26
10-25-2022,07:08:21,0,0
10-25-2022,07:38:21,2,71
10-25-2022,08:08:22,1,8
10-25-2022,08:38:22,5,38
10-25-2022,09:08:23,1,10
10-25-2022,09:38:23,2,14
10-25-2022,10:08:23,3,7
10-25-2022,10:38:24,2,13
10-25-2022,11:08:24,3,25
10-25-2022,11:38:25,6,5
10-25-2022,12:08:25,1,5
10-25-2022,12:38:25,3,19
10-25-2022,13:08:26,7,16
10-25-2022,13:38:26,3,17
10-25-2022,14:08:27,5,18
10-25-2022,14:38:27,4,15
10-25-2022,15:08:25,0,11
10-25-2022,15:38:28,5,28
10-25-2022,16:08:28,6,38
10-25-2022,16:38:29,2,27
10-25-2022,17:08:29,7,18
10-25-2022,17:38:30,3,17
10-25-2022,18:08:30,5,37
10-25-2022,18:38:31,5,12
10-25-2022,19:08:31,8,37
10-25-2022,19:38:31,2,21
10-25-2022,20:08:32,4,33
10-25-2022,20:38:43,3,29
10-25-2022,21:08:43,4,19
10-25-2022,21:38:43,5,13
10-25-2022,22:08:44,4,16
10-25-2022,22:38:44,4,16
10-25-2022,23:08:45,10,27
10-25-2022,23:38:45,7,21
10-26-2022,00:08:46,6,37
10-26-2022,00:30:29,0,0
10-26-2022,01:00:29,5,21
10-26-2022,01:30:30,6,61
10-26-2022,02:00:31,2,19
10-26-2022,02:30:31,0,1
10-26-2022,03:00:32,1,2
10-26-2022,03:30:32,0,1
10-26-2022,04:00:33,3,22
10-26-2022,04:30:34,0,2
10-26-2022,05:00:34,10,79
10-26-2022,05:30:35,0,3
10-26-2022,06:00:36,0,1
10-26-2022,06:30:36,0,1
10-26-2022,07:00:37,0,1
10-26-2022,07:30:38,0,1
10-26-2022,08:00:39,0,1
10-26-2022,08:30:39,2,1
10-26-2022,09:00:40,6,45
10-26-2022,09:30:41,4,21
10-26-2022,10:00:45,5,10
10-26-2022,10:30:46,8,26
10-26-2022,11:00:53,7,104
10-26-2022,11:30:54,1,17
10-26-2022,12:00:54,6,42
10-26-2022,12:30:55,1,9
10-26-2022,13:00:56,2,28
10-26-2022,13:30:56,4,20
10-26-2022,14:00:57,6,18
10-26-2022,14:30:58,8,12
10-26-2022,15:01:24,2,5
10-26-2022,15:31:24,3,5
10-26-2022,16:01:25,2,9
10-26-2022,16:31:26,7,17
10-26-2022,17:01:26,6,33
10-26-2022,17:31:27,4,19
10-26-2022,18:01:27,4,15
10-26-2022,18:31:28,5,15
10-26-2022,19:01:29,2,26
10-26-2022,19:31:29,8,21
10-26-2022,20:01:30,5,17
10-26-2022,20:31:31,5,15
10-26-2022,21:01:32,5,29
10-26-2022,21:31:33,1,30
10-26-2022,22:01:34,1,40
10-27-2022,10:36:01,0,0
10-27-2022,11:06:02,11,112
10-27-2022,11:36:03,3,16
10-27-2022,12:06:03,12,122
10-27-2022,12:36:05,3,5
10-27-2022,13:06:05,5,19
10-27-2022,13:36:06,5,9
10-27-2022,14:06:06,1,10
10-27-2022,14:36:07,3,24
10-27-2022,15:06:08,8,31
10-27-2022,15:36:08,2,23
10-27-2022,16:06:09,1,26
10-27-2022,16:36:09,10,19
10-27-2022,17:06:09,3,23
10-27-2022,17:36:10,7,50
10-27-2022,18:06:11,6,21
10-27-2022,18:36:11,7,27
10-27-2022,19:06:12,2,18
10-27-2022,19:36:13,6,9
10-27-2022,20:06:14,2,16
