Index,Post,Comments,Date
0,"seriously what is up w the person that posted about losing their shit while drunk? all of their comments have been reported or deleted… they were mean asf to everyone, lowkey evil",14,1:12:25
1,hardest class you've ever taken here?,1,1:12:25
2,whats happening with fetish this year? i feel like i havent seen anything abt it,28,1:12:25
3,fuck i definitely have a crush on my friend who’s in a relationship,18,1:12:25
4,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",17,1:12:25
5,"Does anyone know why there were just like 50 people chanting on the quad? it was just for a few minutes, but i wanted to know fir sure",1,1:12:25
6,my binge eating is getting so bad i need advice ,1,1:12:25
7,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,1:12:25
8,if you don’t smoke cigarettes - why not? ,0,1:12:25
9,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,1:12:25
10,tell someone who cares ,1,1:12:25
11,"if youre in a visibly queer relationship, what has been your experience at umass frats?",3,1:12:25
12,if u smoke cigarettes- why?,35,1:12:25
13,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,1:12:25
14,girl singing in Emerson literally STOP nobody wants to hear this,7,1:12:25
0,"sticks and stones may break my bones, but at least im fucking normal.",11,1:42:25
1,maid is so submissive ,0,1:42:25
2,when maid gets hungry she eats out of the dustpan ,0,1:42:25
3,maid is almost done!,0,1:42:25
4,havent figured out how to duplicate posts yet cringe                  ,0,1:42:25
5,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 83,2,1:42:25
6,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 58,0,1:42:25
7,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 28,0,1:42:25
8,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 21,0,1:42:25
9,what kind of sad sack comes on here and harasses a girl just trying to recover her lost kitten heels…. its called timeless elegance you dumb sluts 20,0,1:42:25
10,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",18,1:42:25
11,shoe girl is the new pink bike girl,1,1:42:25
12,who in king called campo for a noise complaint recently?,38,1:42:25
13,girl singing in Emerson literally STOP nobody wants to hear this,8,1:42:25
14,hardest class you've ever taken here?,1,1:42:25
0,after all that my question is did you seriously bring slippers to change into when you were only wearing 1.5 inch heels,3,2:12:27
1,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,4,2:12:27
2,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",18,2:12:27
3,shoe girl is the new pink bike girl,1,2:12:27
4,who in king called campo for a noise complaint recently?,38,2:12:27
5,girl singing in Emerson literally STOP nobody wants to hear this,8,2:12:27
6,hardest class you've ever taken here?,1,2:12:27
7,whats happening with fetish this year? i feel like i havent seen anything abt it,28,2:12:27
8,fuck i definitely have a crush on my friend who’s in a relationship,18,2:12:27
9,my binge eating is getting so bad i need advice ,1,2:12:27
10,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,2:12:27
11,if you don’t smoke cigarettes - why not? ,0,2:12:27
12,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,2:12:27
13,tell someone who cares ,1,2:12:27
14,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,2:12:27
0,whats happening with fetish this year? i feel like i havent seen anything abt it,29,2:42:27
1,what is the attire for fetish,7,2:42:27
2,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,5,2:42:27
3,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",18,2:42:27
4,shoe girl is the new pink bike girl,1,2:42:27
5,girl singing in Emerson literally STOP nobody wants to hear this,8,2:42:27
6,fuck i definitely have a crush on my friend who’s in a relationship,18,2:42:27
7,my binge eating is getting so bad i need advice ,1,2:42:27
8,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,2:42:27
9,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,2:42:27
10,"just an fyi- i feel like we should give a grace period of 10 min to grab stuff from washers and dryers. literally, had two washers going at dif temps so one took like 5 min longer but the app said it still wasnt ready when my phone time went off. so i waited til the app said the second washer was closer to done… i went down stairs and found someone taking out my stuff out of the washer. like sheesh- comeon guys. why do you have to be like vultures with laundry machines?",22,2:42:27
11,comment good party songs ,9,2:42:27
12,on a scale of 1-10 how close are you with your friends,2,2:42:27
13,For anyone whos had a hookup before-what is it like? I’m wondering if it would help me understand my sexuality or not,12,2:42:27
14,"i feel in my heart that tomorrow greg de wet is gonna make some joke in geo104 about taylor swift. Like “hope you all managed to do the reading, even though you were probably busy listening to the new taylor swift album!” idk it would just seem on brand for him",4,2:42:27
0,"hey, everyone… this is really embarassing, but i genuinely need advice. i wet the bed last night, and my roomste didnt say anything, but when i woke up my sheets wete visibly wet and i quickly did a load of laundry. im just so humiliated. i have a condituon where sometimes when im in my rem cycle i will pee, and it’s just so so embarrasing, but i cant help it. ive tried everything and its been years, so ive more or less given up on “fixing” the bigger problem of bed wetting. but i just dont know how or if i should talk to my roomate about this because i know its foul and smelly, but i really cant help it. real respinses only please, its already been a long day.",19,3:12:27
1,havent figured out how to unreport posts yet either?       ,0,3:12:27
2,whats happening with fetish this year? i feel like i havent seen anything abt it,29,3:12:27
3,what is the attire for fetish,7,3:12:27
4,been a good one but i dont want anyone else in on our little thing 🤫 so im deleting the rest of these and you can come find me tomorrow night 🥵😩🥿,5,3:12:27
5,shoe girl is the new pink bike girl,1,3:12:27
6,girl singing in Emerson literally STOP nobody wants to hear this,8,3:12:27
7,fuck i definitely have a crush on my friend who’s in a relationship,18,3:12:27
8,my binge eating is getting so bad i need advice ,1,3:12:27
9,spent the night at my boyfriends place and woke up to blood all over this leg…embarrassinggg i didnt know my period was starting so soon.,5,3:12:27
10,passed out drunk at 6 and just woke up and theres… a trail of shit to my bed and the bed is even worse…. i think i blacked out so idk how it happened but its so gross i cant clean it and have nowhere to sleep,1,3:12:27
